city,country,jams_count,jams_delay,jams_length,traffic_index_live,traffic_index_week_before,update_time_live,update_time_week_before
Birmingham,United States of America,1,1.5,0.1,0,0,1652616090000,1652011290000
Birmingham,United States of America,2,2.9,0.3,0,0,1652619660000,1652014860000
Birmingham,United States of America,0,0,0,3,2,1652625960000,1652020260000
Birmingham,United States of America,6,16.7,1.3,5,4,1652629560000,1652024769766
Birmingham,United States of America,2,5.5,0.2,7,7,1652631349560,1652026560045
Birmingham,United States of America,8,15.9,1.1,10,10,1652635863849,1652031055796
Birmingham,United States of America,5,15.3,1.5,10,10,1652637656145,1652032844002
Birmingham,United States of America,7,32.5,4,9,9,1652641268725,1652036449023
Birmingham,United States of America,1,5.5,0.2,9,10,1652644846071,1652042737165
Birmingham,United States of America,2,8.3,0.2,8,13,1652648450580,1652045460000
Birmingham,United States of America,1,1.3,0,7,11,1652652073374,1652047265040
Birmingham,United States of America,2,5.6,0.2,7,9,1652655660000,1652050860001
Birmingham,United States of America,2,8.7,0.5,5,6,1652659260000,1652054460000
Birmingham,United States of America,2,11.5,0.3,6,7,1652663760000,1652058060000
Birmingham,United States of America,0,0,0,5,4,1652666460000,1652061660000
Birmingham,United States of America,2,4.4,0.2,2,3,1652670090000,1652065290000
Birmingham,United States of America,0,0,0,1,1,1652673690000,1652068890000
Birmingham,United States of America,1,1.4,0.2,1,0,1652677290000,1652072490001
Birmingham,United States of America,0,0,0,0,0,1652680890001,1652076090000
Birmingham,United States of America,1,0.7,1.5,0,0,1652684490000,1652079690000
Birmingham,United States of America,0,0,0,0,0,1652688090001,1652083290000
Birmingham,United States of America,0,0,0,0,0,1652691690001,1652086890001
Birmingham,United States of America,0,0,0,0,0,1652695290000,1652090490000
Birmingham,United States of America,0,0,0,0,0,1652698860000,1652094090000
Birmingham,United States of America,53,152.6,53.1,20,20,1652705162763,1652100366015
Birmingham,United States of America,51,151.9,52.2,25,27,1652706060000,1652102164252
Birmingham,United States of America,8,22.9,2.5,12,14,1652709660000,1652104860000
Birmingham,United States of America,1,2.6,1,10,9,1652713260000,1652108460000
Birmingham,United States of America,11,30.9,2.3,13,12,1652719560000,1652114760001
Birmingham,United States of America,7,21.9,3.4,16,15,1652722260000,1652117470443
Birmingham,United States of America,10,24.4,4.7,16,15,1652724069834,1652119260001
Birmingham,United States of America,4,9.9,0.7,14,14,1652727665031,1652125528946
Birmingham,United States of America,34,127.7,15,19,21,1652733062076,1652128244361
Birmingham,United States of America,20,59.2,22.3,21,26,1652736635169,1652132737223
Birmingham,United States of America,33,88.7,30.5,24,27,1652740250602,1652135460407
Birmingham,United States of America,11,31.7,2.2,17,19,1652742060000,1652137260000
Birmingham,United States of America,2,4.9,0.3,9,9,1652745660000,1652140860000
Birmingham,United States of America,2,9.5,1.9,8,10,1652750160000,1652145360000
Birmingham,United States of America,2,5.6,1.2,7,7,1652752860000,1652148060000
Birmingham,United States of America,0,0,0,3,4,1652756490000,1652151690000
Birmingham,United States of America,0,0,0,1,1,1652760090001,1652155290000
Birmingham,United States of America,2,8.1,0.7,1,1,1652763690000,1652160690000
Birmingham,United States of America,0,0,0,0,0,1652767290001,1652162490000
Birmingham,United States of America,2,10.3,2,1,1,1652772690001,1652167890001
Birmingham,United States of America,0,0,0,0,0,1652774490000,1652169690001
Birmingham,United States of America,1,2.3,0.2,0,0,1652778090000,1652173290001
Birmingham,United States of America,0,0,0,0,0,1652781690000,1652176890000
Birmingham,United States of America,1,0.8,0.1,1,1,1652787968830,1652183136997
Birmingham,United States of America,53,180.7,73.1,22,21,1652791553112,1652186744882
Birmingham,United States of America,57,187.4,70.1,29,28,1652792476812,1652187664597
Birmingham,United States of America,3,9.2,0.8,14,14,1652796060000,1652191260000
Birmingham,United States of America,10,39.8,8,12,11,1652801464032,1652197560000
Birmingham,United States of America,11,46.4,6.9,14,20,1652805960000,1652200254165
Birmingham,United States of America,10,22.1,3.8,16,19,1652808660000,1652202060000
